record_id,booking_date,day_of_week,month,area,latitude,longitude,service,base_price,booking_amount,provider_id,experience_years,provider_rating,verification_status,provider_available_hours,status,request_count,completed_requests,cancelled_requests,available_workers,service_popularity_index,is_weekend,season,data_source
URB26-00096,2026-04-01,2,4,Saket,28.5244,77.2066,Painter,957,1046,DEL-P0020,4,4.8,Verified,8,Completed,0,0,0,1,90.98,0,Summer,Enriched_Delhi_Demand_2026
URB26-00097,2026-04-01,2,4,Shahdara,28.6728,77.2872,Electrician,313,328,DEL-P0018,4,4.7,Verified,10,Completed,8,8,0,2,102.21,0,Summer,Enriched_Delhi_Demand_2026
URB26-00098,2026-04-01,2,4,Shahdara,28.6728,77.2872,Plumber,420,474,DEL-P0007,5,4.7,Verified,10,Completed,4,4,0,3,98.99,0,Summer,Enriched_Delhi_Demand_2026
URB26-00099,2026-04-01,2,4,Shahdara,28.6728,77.2872,Carpenter,498,522,DEL-P0054,5,4.6,Verified,8,Completed,2,2,0,2,101.26,0,Summer,Enriched_Delhi_Demand_2026
URB26-00100,2026-04-01,2,4,Shahdara,28.6728,77.2872,Gardener,353,384,DEL-P0009,2,4.2,Verified,7,Cancelled,1,0,1,1,74.23,0,Summer,Enriched_Delhi_Demand_2026
URB26-00101,2026-04-01,2,4,Shahdara,28.6728,77.2872,AC Repair,744,861,DEL-P0039,4,4.5,Verified,8,Completed,3,3,0,3,91.36,0,Summer,Enriched_Delhi_Demand_2026
URB26-00102,2026-04-01,2,4,Shahdara,28.6728,77.2872,Appliance Repair,891,919,DEL-P0030,7,4.8,Verified,9,Completed,4,4,0,1,95.25,0,Summer,Enriched_Delhi_Demand_2026
URB26-00103,2026-04-01,2,4,Shahdara,28.6728,77.2872,Cleaner,511,526,DEL-P0006,4,4.2,Pending,9,Cancelled,5,0,5,1,95.72,0,Summer,Enriched_Delhi_Demand_2026
URB26-00104,2026-04-01,2,4,Shahdara,28.6728,77.2872,Painter,1012,1164,DEL-P0031,5,4.6,Pending,8,Completed,1,1,0,2,101.17,0,Summer,Enriched_Delhi_Demand_2026
URB26-00105,2026-04-01,2,4,Shalimar Bagh,28.7175,77.1506,Electrician,309,339,DEL-P0054,3,4.5,Verified,7,Completed,5,5,0,2,99.39,0,Summer,Enriched_Delhi_Demand_2026
URB26-00106,2026-04-01,2,4,Shalimar Bagh,28.7175,77.1506,Plumber,418,468,DEL-P0056,3,4.6,Pending,8,Completed,3,3,0,2,95.91,0,Summer,Enriched_Delhi_Demand_2026
URB26-00107,2026-04-01,2,4,Shalimar Bagh,28.7175,77.1506,Carpenter,525,589,DEL-P0017,3,4.6,Pending,8,Completed,3,3,0,2,94.57,0,Summer,Enriched_Delhi_Demand_2026
URB26-00108,2026-04-01,2,4,Shalimar Bagh,28.7175,77.1506,Gardener,360,407,DEL-P0050,4,4.5,Pending,7,Completed,1,1,0,3,69.45,0,Summer,Enriched_Delhi_Demand_2026
URB26-00109,2026-04-01,2,4,Shalimar Bagh,28.7175,77.1506,AC Repair,737,806,DEL-P0023,4,4.4,Verified,9,Completed,1,1,0,2,97.93,0,Summer,Enriched_Delhi_Demand_2026
URB26-00110,2026-04-01,2,4,Shalimar Bagh,28.7175,77.1506,Appliance Repair,948,1094,DEL-P0013,7,4.6,Verified,9,Completed,1,1,0,2,103.25,0,Summer,Enriched_Delhi_Demand_2026
URB26-00111,2026-04-01,2,4,Shalimar Bagh,28.7175,77.1506,Cleaner,483,535,DEL-P0013,4,4.0,Verified,6,Completed,1,1,0,1,98.79,0,Summer,Enriched_Delhi_Demand_2026
URB26-00112,2026-04-01,2,4,Shalimar Bagh,28.7175,77.1506,Painter,1035,1187,DEL-P0016,5,4.6,Pending,9,Completed,2,1,1,4,95.17,0,Summer,Enriched_Delhi_Demand_2026
URB26-00113,2026-04-01,2,4,Uttam Nagar,28.624,77.065,Electrician,306,333,DEL-P0055,4,4.7,Verified,7,Partially Completed,2,1,0,2,99.64,0,Summer,Enriched_Delhi_Demand_2026
URB26-00114,2026-04-01,2,4,Uttam Nagar,28.624,77.065,Plumber,412,422,DEL-P0046,4,4.8,Verified,8,Completed,3,3,0,2,100.7,0,Summer,Enriched_Delhi_Demand_2026
URB26-00115,2026-04-01,2,4,Uttam Nagar,28.624,77.065,Carpenter,519,586,DEL-P0045,6,4.7,Verified,8,Completed,0,0,0,1,92.21,0,Summer,Enriched_Delhi_Demand_2026
URB26-00116,2026-04-01,2,4,Uttam Nagar,28.624,77.065,Gardener,336,357,DEL-P0030,6,4.7,Verified,7,Completed,1,1,0,1,66.0,0,Summer,Enriched_Delhi_Demand_2026
URB26-00117,2026-04-01,2,4,Uttam Nagar,28.624,77.065,AC Repair,737,795,DEL-P0029,3,4.7,Verified,8,Completed,1,1,0,2,90.14,0,Summer,Enriched_Delhi_Demand_2026
URB26-00118,2026-04-01,2,4,Uttam Nagar,28.624,77.065,Appliance Repair,859,932,DEL-P0011,9,4.5,Verified,10,Completed,1,1,0,3,103.61,0,Summer,Enriched_Delhi_Demand_2026
URB26-00119,2026-04-01,2,4,Uttam Nagar,28.624,77.065,Cleaner,480,521,DEL-P0012,5,4.1,Verified,9,Completed,0,0,0,1,96.57,0,Summer,Enriched_Delhi_Demand_2026
URB26-00120,2026-04-01,2,4,Uttam Nagar,28.624,77.065,Painter,1015,1057,DEL-P0028,7,4.7,Pending,9,Partially Completed,2,2,0,2,87.72,0,Summer,Enriched_Delhi_Demand_2026
URB26-00121,2026-04-02,3,4,Burari,28.758,77.1945,Electrician,288,324,DEL-P0035,4,4.4,Verified,9,Completed,2,1,1,3,101.66,0,Summer,Enriched_Delhi_Demand_2026
URB26-00122,2026-04-02,3,4,Burari,28.758,77.1945,Plumber,396,438,DEL-P0037,5,4.9,Verified,7,Completed,6,6,0,3,100.89,0,Summer,Enriched_Delhi_Demand_2026
URB26-00123,2026-04-02,3,4,Burari,28.758,77.1945,Carpenter,504,557,DEL-P0036,5,4.8,Verified,7,Partially Completed,1,1,0,2,90.99,0,Summer,Enriched_Delhi_Demand_2026
URB26-00124,2026-04-02,3,4,Burari,28.758,77.1945,Gardener,340,385,DEL-P0053,5,4.3,Verified,9,Completed,1,1,0,2,68.16,0,Summer,Enriched_Delhi_Demand_2026
URB26-00125,2026-04-02,3,4,Burari,28.758,77.1945,AC Repair,753,807,DEL-P0010,5,4.6,Verified,9,Completed,0,0,0,1,94.76,0,Summer,Enriched_Delhi_Demand_2026
URB26-00126,2026-04-02,3,4,Burari,28.758,77.1945,Appliance Repair,932,1042,DEL-P0020,6,4.7,Verified,10,Completed,2,2,0,2,96.62,0,Summer,Enriched_Delhi_Demand_2026
URB26-00127,2026-04-02,3,4,Burari,28.758,77.1945,Cleaner,482,555,DEL-P0011,6,4.1,Verified,9,Completed,8,8,0,1,98.61,0,Summer,Enriched_Delhi_Demand_2026
URB26-00128,2026-04-02,3,4,Burari,28.758,77.1945,Painter,1030,1190,DEL-P0046,5,4.8,Verified,10,Completed,1,1,0,2,90.53,0,Summer,Enriched_Delhi_Demand_2026
URB26-00129,2026-04-02,3,4,Dwarka,28.5921,77.046,Electrician,287,316,DEL-P0051,4,4.6,Pending,7,Completed,2,2,0,4,98.05,0,Summer,Enriched_Delhi_Demand_2026
URB26-00130,2026-04-02,3,4,Dwarka,28.5921,77.046,Plumber,382,406,DEL-P0001,4,4.5,Verified,8,Completed,0,0,0,1,99.78,0,Summer,Enriched_Delhi_Demand_2026
URB26-00131,2026-04-02,3,4,Dwarka,28.5921,77.046,Carpenter,483,505,DEL-P0031,5,4.6,Verified,7,Completed,0,0,0,1,99.39,0,Summer,Enriched_Delhi_Demand_2026
URB26-00132,2026-04-02,3,4,Dwarka,28.5921,77.046,Gardener,343,366,DEL-P0013,3,4.7,Verified,11,Completed,1,1,0,2,75.65,0,Summer,Enriched_Delhi_Demand_2026
